haskell-gsasl,4388
libsdl-perl,4368
openmolcas,4362
boost1.67,4320
kde4libs,4300
haskell-icalendar,4296
haskell-memory,4294
hfst,4272
postgresql-15,4254
ncbi-blast+,4238
llvm-toolchain-15,4230
binutils-riscv64-unknown-elf,4210
kde-runtime,4180
binutils-mingw-w64,4092
gnupg2,4066
haskell-yesod-form,4034
kst,4006
haskell-trifecta,3994
wine-development,3980
haskell-yi-language,3974
haskell-wai-extra,3974
elektra,3962
i3-wm,3952
nbdkit,3934
claws-mail,3904
fwbuilder,3880
haskell-pretty-show,3878
haskell-snap,3862
mafft,3860
icinga2,3842
elfutils,3840
cp2k,3838
haskell-gi-gobject,3834
haskell-vector,3834
haskell-resolv,3822
haskell-asn1-types,3806
haskell-singletons,3800
wpa,3748
llvm-toolchain-13,3748
cross-toolchain-base-mipsen,3726
sg3-utils,3724
kopete,3720
gnuastro,3712
haskell-haxr,3698
mmh,3666
haskell-fdo-notify,3658
haskell-gitlib,3640
isc-kea,3628
man-db,3624
wine,3588
rust-coreutils,3584
haskell-linear,3582
zeroc-ice,3578
apache2,3564
perl,3562
haskell-hit,3554
unison,3554
haskell-irc-core,3544
haskell-tidal,3514
wcstools,3494
haskell-cborg,3490
haskell-zlib,3486
haskell-hinotify,3472
odin,3468
haskell-http-client,3442
postgresql-13,3428
maxima,3410
lsh-utils,3406
medusa,3402
haskell-iospec,3400
haskell-esqueleto,3392
haskell-mime,3384
collectd,3370
netatalk,3368
haskell-hmatrix-gsl,3346
mtd-utils,3336
golang-1.19,3312
haskell-tagsoup,3304
llvm-toolchain-11,3288
sane-backends,3276
haskell-nettle,3276
haskell-socks,3258
haskell-hsemail,3242
libhdf4,3232
haskell-hxt-relaxng,3220
haskell-quickcheck,3210
haskell-rio,3208
uhd,3206
kmymoney,3200
gdb,3198
cython,3192
ffmpeg,3178
mumps,3160
gdcm,3158
mumble,3156
nordugrid-arc,3148
haskell-fgl,3146
postgresql-11,3128
capnproto,3120
haskell-servant,3096
polyml,3090
curl,3088
efl,3084
e2fsprogs,3078
haskell-leksah,3048
haskell-xmlhtml,3038
kwave,3036
thc-ipv6,3020
gnucash,3012
cups,3004
haskell-bmp,2988
haskell-oeis,2978
haskell-citeproc,2966
haskell-publicsuffixlist,2956
collatinus,2954
haskell-dice,2950
haskell-ofx,2950
freeipmi,2940
nginx,2938
mlpack,2936
haskell-criterion,2928
llvm-toolchain-8,2924
courier,2906
haskell-djinn-lib,2906
haskell-parsers,2894
haskell-svg-builder,2892
pdns,2882
haskelldb,2880
haskell-megaparsec,2860
opensips,2838
scipy,2834
exactimage,2804
haskell-markdown,2802
haskell-filestore,2784
bluez,2778
scantailor,2752
haskell-uniplate,2738
golang-1.14,2720
purple-plugin-pack,2708
llvm-toolchain-14,2708
gnutls28,2686
haskell-heist,2666
weechat,2662
haskell-acid-state,2658
haskell-text,2636
haskell-gi-vte,2632
argus-clients,2632
hypre,2624
mongrel2,2604
haskell-websockets,2600
gnat-mingw-w64,2592
haskell-attoparsec,2588
grilo-plugins,2580
copyq,2578
kwin,2578
vlc,2566
haskell-conduit,2562
knot,2556
kvirc,2520
nss,2510
ganeti,2496
cmtk,2464
haskell-presburger,2444
marble,2444
haskell-io-streams,2442
entropybroker,2432
haskell-midi,2424
singular,2422
binutils-bpf,2422
haskell-diagrams-lib,2418
hasktags,2414
haskell-wreq,2412
haskell-random-fu,2412
scilab,2408
389-ds-base,2402
cegui-mk2,2352
perl-tk,2346
orthanc-webviewer,2338
frr,2336
php7.4,2332
proftpd-mod-proxy,2330
kbd,2322
alljoyn-thin-client-1604,2320
llvm-toolchain-5.0,2320
haskell-cassava,2318
haskell-reform,2300
haskell-snap-server,2298
haskell-hslua,2298
haskell-haskore,2296
haskell-edison-core,2294
haskell-free,2292
ghc-mod,2290
cabal-debian,2288
haskell-bifunctors,2276
php8.2,2268
haskell-xml,2250
nfs-ganesha,2246
abiword,2244
libguestfs,2240
haskell-hsyslog,2230
geographiclib,2204
mriconvert,2198
llvm-toolchain-9,2194
haskell-xml-hamlet,2188
aqsis,2184
xdrawchem,2176
cssc,2176
nbsdgames,2166
cross-binutils,2160
haskell-options,2160
kdepimlibs,2160
ocaml,2144
ax25-tools,2140
libcamera,2138
sagemath,2136
kim-api,2134
insighttoolkit4,2132
haskell-crypto-api,2126
glusterfs,2118
evolution,2118
xapian-core,2114
haskell-dimensional,2110
fcitx,2104
skimage,2104
hwloc,2104
haskell-fingertree,2082
survex,2078
carettah,2060
gromacs,2040
haskell-intern,2040
haskell-lzma,2030
telepathy-gabble,2028
choqok,1994
haskell-ircbot,1994
haskell-numtype-dk,1992
libreswan,1988
moosefs,1984
llvm-toolchain-3.5,1980
llvm-toolchain-4.0,1976
photoqt,1958
haskell-werewolf,1954
mariadb,1954
python-numpy,1952
haskell-hsp,1952
ulogd2,1932
tripwire,1928
regina-normal,1914
exonerate,1912
fwupd,1910
haskell-http-common,1910
haskell-smtp-mail,1906
thunderbird,1898
flow-tools,1896
haskell-colour,1880
haskell-misfortune,1878
pygtk,1872
haskell-xml-conduit,1868
haskell-hosc,1868
haskell-xcb-types,1850
uwsgi,1824
haskell-regexpr,1814
haskell-inline-c,1806
haskell-descriptive,1802
cctools,1798
haskell-monad-par,1794
adios,1794
ncftp,1792
fuse-emulator-utils,1788
ldc,1788
haskell-mustache,1784
haskell-butcher,1784
mighttpd2,1780
haskell-argon2,1778
rdma-core,1776
polygraph,1764
pfstools,1760
haskell-http-types,1760
magic-haskell,1760
kivy,1758
golang-1.18,1748
haskell-gnuidn,1742
haskell-readline,1742
tor,1742
haskell-hunit,1738
haskell-crypto,1728
egenix-mx-base,1728
pspp,1720
gauche,1716
pillow,1714
haskell-miniutter,1712
haskell-profunctors,1710
haskell-config-value,1708
mrpt,1702
gst-plugins-ugly1.0,1700
boost1.71,1700
haskell-pandoc-types,1694
haskell-cpu,1692
ecflow,1690
grads,1688
haskell-smallcheck,1688
haskell-filemanip,1684
pktools,1672
scummvm-tools,1672
haskell-cracknum,1672
haskell-cryptostore,1670
pd-iemguts,1668
lua-posix,1668
freeorion,1666
haskell-hookup,1666
nncp,1660
haskell-old-time,1658
tucnak,1656
lua-sql,1656
haskell-glob,1642
procps,1640
dune-grid,1636
pmacct,1634
eiskaltdcpp,1634
geomview,1632
haskell-mime-mail,1628
cmake,1624
haskell-arrows,1622
casacore,1620
haskell-ipynb,1620
v4l-utils,1620
network-manager,1616
haskell-iproute,1614
haskell-extra,1614
eccodes,1604
haskell-unlambda,1602
boost,1602
haskell-netwire,1598
fvwm,1592
haskell-parseargs,1592
bcftools,1582
juffed,1576
lambdabot,1568
ldns,1568
mapserver,1560
haskell-fsnotify,1548
llvm-toolchain-3.9,1548
lilypond,1546
relion,1542
open-vm-tools,1538
haskell-adjunctions,1522
haskell-libyaml,1520
haskell-listlike,1518
pygobject-2,1516
munipack,1516
freeciv,1512
haskell-numbers,1510
redis,1504
kde-cli-tools,1502
haskell-pqueue,1500
haskell-polyparse,1500
haskell-wizards,1498
writerperfect,1494
gsoap,1492
haskell-psqueues,1492
ufoai,1492
scikit-learn,1488
sga,1488
haskell-js-flot,1482
ants,1480
onak,1478
nco,1478
gap,1476
gvfs,1472
haskell-json,1470
haskell-yesod-test,1464
gammu,1460
haskell-foldl,1456
avahi,1456
vxl,1456
haskell-generics-sop,1454
haskell-aeson-pretty,1454
aircrack-ng,1444
haskell-sandi,1434
squid,1432
splash,1432
haskell-unliftio,1432
haskell-musicbrainz,1428
afflib,1428
binutils-m68hc1x,1424
ddd,1416
kde-baseapps,1410
gnome-chemistry-utils,1408
binutils-z80,1408
gbutils,1400
haskell-hindent,1398
libwebsockets,1394
pgpool2,1392
xpuzzles,1392
lxc,1388
ipe,1384
mariadb-10.5,1380
iverilog,1380
infiniband-diags,1380
tesseract,1380
haskell-iconv,1374
fis-gtm,1372
haskell-monadlib,1370
haskell-fclabels,1370
lirc,1370
pcp,1368
foxeye,1368
zynaddsubfx,1362
gutenprint,1358
haskell-sdl-mixer,1358
nim,1356
vtk-dicom,1352
php7.3,1346
pure-ftpd,1344
netsniff-ng,1344
libpodofo,1328
cdrkit,1326
haskell-boxes,1326
darkradiant,1320
dpkg,1320
grib-api,1320
haskell-safecopy,1320
hercules,1320
vtk,1320
cross-toolchain-base,1310
systemtap,1308
haskell-sdl-image,1306
php7.0,1304
hdf5,1304
haskell-reducers,1302
llvm-toolchain-3.8,1300
lcgdm,1296
sogo,1294
patat,1292
poppler,1290
apt-cacher-ng,1290
dnaclust,1286
zulucrypt,1284
haskell-taskell,1278
coq,1258
jailkit,1258
haskell-bzlib,1256
varnish,1256
liblouis,1254
wmaker,1252
pytables,1244
cross-toolchain-base-ports,1242
gnome-software,1236
haskell-bencode,1234
haskell-diff,1234
haskell-primitive,1232
haskell-rsa,1230
kid3,1228
haskell-connection,1226
goffice,1224
midori,1224
mate-applets,1222
icmake,1220
ppp,1212
cyrus-imapd,1212
haskell-boomerang,1212
haskell-shelly,1212
ddnet,1210
haskell-refact,1202
haskell-cmark,1198
haskell-cryptohash,1198
svxlink,1194
xbs,1190
buzztrax,1184
haskell-hashtables,1184
haskell-cgi,1184
haskell-yesod,1182
ros-opencv-apps,1178
haskell-aeson-extra,1176
haskell-fast-logger,1174
haskell-comonad,1172
haskell-thyme,1172
lxml,1170
slurm-llnl,1168
haskell-configfile,1168
libmtp,1168
newlib,1166
binutils-or1k-elf,1164
qttools-opensource-src,1164
haskell-xml-types,1160
haskell-aeson-diff,1160
haskell-punycode,1160
mutter,1160
compton,1158
haskell-categories,1156
llvm-toolchain-16,1154
drbd-utils,1152
megatools,1152
haskell-split,1150
haskell-gi-gdkx11,1146
haskell-hscurses,1144
opendnssec,1142
quota,1140
dwarves-dfsg,1138
haskell-syb,1130
haskell-chell,1128
haskell-tf-random,1114
haskell-ekg-core,1114
plee-the-bear,1110
alsa-utils,1110
haskell-hoauth2,1102
snd,1100
amarok,1100
haskell-brainfuck,1096
darktable,1094
haskell-aeson-qq,1094
audacious,1094
pd-unauthorized,1092
nilfs-tools,1092
haskell-resourcet,1090
unbound,1088
routino,1088
cbmc,1082
gfal2,1082
metview,1080
filezilla,1078
haskell-parsec,1074
ossp-uuid,1068
eperl,1068
haskell-hspec,1066
strongswan,1062
haskell-simple-smt,1062
putty,1060
haskell-authenticate,1058
hfsutils,1056
haskell-language-c99,1056
atlc,1056
haskell-blaze-markup,1048
haskell-charset,1044
conky,1040
dune-uggrid,1040
sope,1040
haskell-tldr,1040
python-falcon,1036
dose3,1036
gpac,1036
tntdb,1030
xfce4-settings,1026
wimlib,1024
haskell-openpgp-asciiarmor,1024
haskell-uuagc-cabal,1022
dateutils,1020
openkim-models,1020
haskell-monads-tf,1020
haskell-bytes,1020
lua-rexlib,1020
haskell-gi-dbusmenu,1018
rdkit,1018
haskell-psqueue,1014
dar,1012
mtink,1010
htmldoc,1008
haskell-hoogle,1008
tilem,1008
haskell-dav,1006
haskell-csv-conduit,1000
haskell-drbg,1000
postgresql-9.6,998
freetds,996
pente,990
shishi,988
nettle,988
perdition,986
blcr,984
mlt,982
haskell-tabular,974
libimobiledevice,972
corosync,972
haskell-haddock,972
haskell-soap,972
haskell-gi-gdkpixbuf,966
brltty,962
haskell-wai,960
qdbm,960
odb-api,958
haskell-jwt,958
haskell-stateref,958
haskell-chunked-data,958
ogmtools,952
oce,952
squid3,950
guestfs-tools,948
libaqbanking,948
eterm,948
spirv-tools,944
ark,944
inetutils,942
feedreader,940
haskell-html,934
xemacs21,930
sphinxsearch,930
gst-plugins-bad0.10,930
gnome-applets,928
haskell-hspec-wai,928
haskell-glfw,928
qgis,928
passenger,926
gpgme1.0,926
haskell-bloomfilter,926
uucp,924
tcpreplay,924
haskell-sop-core,922
haskell-cereal,922
allegro5,922
caja-actions,920
haskell-store,920
prime-phylo,918
sharutils,918
haskell-boolean,918
haskell-weigh,916
haskell-strict,916
haskell-yesod-static,914
haproxy,914
pyzmq,912
libcoap2,912
nec,912
orthanc-postgresql,908
haskell-regex-base,906
guix,902
avogadro,900
ndisc6,900
haskell-configurator,898
libtorrent-rasterbar,898
sysstat,896
openchange,894
rhythmbox,890
qhull,888
gambas3,886
libsndfile,886
subtitleeditor,884
bitlbee,884
haskell-zip-archive,882
xfsprogs,880
chocolate-doom,878
haskell-these,878
blis,876
haskell-clock,874
haskell-path,874
socnetv,872
pyicu,870
connman,870
doxygen,870
autogen,870
pcl,868
connectome-workbench,866
haskell-gi-gtk-hs,864
ntfs-3g,864
eurephia,862
dx,860
geary,858
spice-gtk,856
libapreq2,852
kopanocore,852
haskell-patience,850
haskell-url,848
gringo,844
liquidwar,844
cunit,842
dolphin-emu,842
haskell-edison-api,840
motion,840
libapache2-mod-qos,840
tk707,840
ocfs2-tools,836
ocserv,836
ftphs,834
allegro4.4,834
libselinux,832
golang-1.20,828
libqofono,828
python-djvulibre,824
haskell-bz2,824
haskell-utility-ht,822
haskell-sendfile,822
fifechan,820
iwd,816
libssh,816
libcdio,814
aseba,814
geany,812
libinput,810
gnucobol,810
nethack,810
haskell-sdl-ttf,808
recoll,808
haskell-http-media,806
presage,804
haskell-ixset-typed,804
haskell-dyre,804
zeroinstall-injector,804
icinga,804
ktorrent,802
nasm,802
shotwell,798
golang-1.15,798
haskell-microstache,798
nagios4,798
haskell-constraints,796
lvm2,796
oclgrind,794
haskell-prim-uniq,794
haskell-pipes,792
liboggz,792
ldb,792
mariadb-10.3,788
pcb,784
partclone,784
haskell-config-ini,782
haskell-numtype,780
icu,780
kget,780
tpm-tools,780
tpm2-tools,780
readline6,780
rrdtool,778
opensc,776
haskell-commonmark,776
udftools,776
cryptsetup,772
icewm,772
suricata,770
haskell-keys,770
racket,770
seccure,768
jpilot,768
matplotlib,768
libdrumstick,766
haskell-hxt-unicode,764
hslogger,764
openmesh,762
shelltestrunner,760
haskell-termonad,760
mariadb-10.1,760
cutils,756
sinfo,756
haskell-monad-logger,756
apcupsd,756
gnu-smalltalk,754
kate,752
haskell-multistate,750
haskell-hsx2hs,748
libffado,748
certmonger,746
pev,744
haskell-chart-cairo,744
amule,744
ocamlnet,742
bibletime,742
haskell-cipher-des,742
haskell-selective,740
haskell-unixutils,738
haskell-hclip,738
efte,738
cups-filters,736
f3,736
mruby,736
fldigi,734
crashmail,732
gnome-shell,732
ganglia,732
hdbc-sqlite3,732
sqlite3,730
haskell-http-streams,730
haskell-wai-logger,730
lttoolbox,728
ltt-control,728
hdbc-odbc,724
haskell-setlocale,724
haskell-random,724
haskell-here,722
fastx-toolkit,720
sn,720
haskell-convertible,720
setbfree,718
haskell-alsa-mixer,718
haskell-multipart,718
bibutils,714
aide,714
tracker,714
leafnode,714
libcsfml,712
pynfft,708
gnupg1,708
haskell-gtk-sni-tray,708
pcb-rnd,706
haskell-uuid,706
gnome-panel,704
quelcom,704
haskell-hsh,702
iproute2,702
qbittorrent,702
pycurl,700
libnl3,700
gprbuild,700
arbtt,700
libindi,698
glib2.0,698
lyx,698
haskell-sha,696
libjpeg-turbo,694
freediameter,692
dico,692
